s_0_score,s_10_score,s_11_score,s_12_score,s_13_score,s_14_score,s_15_score,s_16_score,s_17_score,s_18_score,s_19_score,s_1_score,s_20_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,,,4.968,,,,,0.048,,,,,,
,,,,,,,,0.5,,,,,3.0,,,,,,,
,,,,1.364,,,,,,2.744,,,,,,,,,,
,,,0.548,,,,,,,,,,,,,2.868,,,,
,0.748,,,,,,,,,,,,,,,,2.508,,,
,1.368,,,,,,,,,,,,,,,,,,,2.268
,,,1.868,,,,,,1.248,,,,,,,,,,,
2.012,,,,,,,,,,,,,,,,,2.032,,,
,2.788,,,,,,,,,,1.168,,,,,,,,,
,3.016,,,,,,,,,,,,,2.976,,,,,,
,0.98,,,,,,,,,,,,,,,,,,2.48,
,,,,,,,,,,,,1.652,,,,,,,,2.072
,,,,,,,,0.02,,,,,4.92,,,,,,,
,,,1.968,,,,,1.668,,,,,,,,,,,,
,,,2.608,,,,1.428,,,,,,,,,,,,,
,,,,,,,,,,1.424,,,,,,,,,,2.264
,,,,,,0.732,,,,,,,,,,,,,,2.852
,,,,,,,,,,,,,,,0.992,1.032,,,,
,,,,,,,,3.284,,,,,,,1.684,,,,,
,,,,,,,,,,,,,,,,1.044,1.004,,,
,,,,,1.924,,,,,2.204,,,,,,,,,,
,0.6,,,,,,,,,,,,2.6,,,,,,,
,,,,,,,,,,,,,,2.016,,,,,3.656,
,0.644,,,,,,,,,,,,,,,,,2.584,,
,,,,4.992,,,,,,,,,,0.012,,,,,,
,,,,,,,3.748,,,,,,,,1.788,,,,,
,,,,,,,,0.044,4.884,,,,,,,,,,,
,,,,,,0.64,,,,,,,,,,,2.92,,,
,,,,,,0.64,,,,,,,,,,,2.9,,,
,2.932,,,,,,,0.952,,,,,,,,,,,,
0.996,,,,,,,,,,,,,1.016,,,,,,,
,,,,,,,,,,,,,1.048,,,,0.988,,,
,,,,,,,,,,,1.408,2.848,,,,,,,,
,,,,0.016,,,,,,,,,4.936,,,,,,,
1.092,,,,,,,,,,,,1.112,,,,,,,,
,,,,2.16,,,,,,,,,,,,,2.36,,,
,,,,,,0.592,,,,,,,,,,,,2.932,,
,,,,,1.896,,,,,,,,,,,,,1.776,,
,,,,,,,,,,,,,2.6,,,,,0.6,,
,,,,,,,3.748,,,,,,,,1.788,,,,,
,,,,,,1.764,,,2.124,,,,,,,,,,,
,,0.976,,,,,,,,,,,1.096,,,,,,,
3.0,,,,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,,,0.972,,,,,,,,2.692,
,,,,,,,,,,,,,,2.016,,,,,3.656,
,1.644,,2.124,,,,,,,,,,,,,,,,,
1.824,,,,,,,,,,1.844,,,,,,,,,,
,,1.088,,,1.068,,,,,,,,,,,,,,,
,,,0.54,,,,,,,,,2.96,,,,,,,,
,,,4.132,,,,,0.452,,,,,,,,,,,,
,,,,,,,,,,0.576,,2.976,,,,,,,,
2.1,,,2.1,,,,,,,,,,,,,,,,,
,4.928,,,,,,,0.028,,,,,,,,,,,,
,0.428,,,,,4.348,,,,,,,,,,,,,,
1.076,,,,,,,,,,,,,,,,,,,1.096,
,,,4.132,,,,,0.452,,,,,,,,,,,,
,,,,,,,,0.084,,,,,,,,,,4.864,,
,,,,,,,,,,2.568,1.448,,,,,,,,,
,,,4.116,0.456,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.172,,2.352
,,,,,,1.388,,,2.548,,,,,,,,,,,
,,,2.012,,,,,,1.512,,,,,,,,,,,
