s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,1.032,,,,,,,0.992
,,,,,,,,1.956,,,1.276,
,,,,1.16,,,,2.74,,,,
,,3.848,,,,1.728,,,,,,
,,,,,,,,,1.344,2.164,,
,2.264,,,,,,,,1.604,,,
,,,1.408,,,,,,,2.048,,
,,1.928,,,,,,1.728,,,,
,,1.94,1.72,,,,,,,,,
,,,,,,,,,2.152,,,1.672
,,,,,,,,,1.52,1.98,,
,,1.4,2.24,,,,,,,,,
,,,,,,,,,1.788,,,1.808
,,,,,,,,1.956,,,1.276,
,,,,1.54,,,,,,,,2.5
,,,,,1.032,,0.992,,,,,
,,2.112,,,,,,,1.732,,,
2.468,2.468,,,,,,,,,,,
,,,,4.072,,1.392,,,,,,
,1.356,,1.816,,,,,,,,,
,,2.112,,,,,,,1.732,,,
,,,,,,,,,,1.988,,1.628
,,,,,,,2.888,,,,,3.008
,2.248,1.788,,,,,,,,,,
,,,2.004,,,,,,,1.844,,
,,,,,,,,1.88,,,,1.76
,,,,,,,,,,1.6,,1.66
,1.356,,1.816,,,,,,,,,
,,,,,,,1.636,,,3.116,,
,,,,,,,,,,1.828,1.708,
