s_0_history_len,s_0_model_depth,s_0_score,s_1_history_len,s_1_model_depth,s_1_score,s_2_history_len,s_2_model_depth,s_2_score,s_3_history_len,s_3_model_depth,s_3_score
10.0,10.0,2.24,10.0,10.0,2.29,,,,,,
10.0,10.0,2.3,10.0,10.0,2.35,,,,,,
,,,,,,10.0,10.0,1.53,10.0,10.0,2.13
10.0,10.0,2.14,10.0,10.0,2.19,,,,,,
,,,,,,10.0,10.0,1.53,10.0,10.0,2.13
10.0,10.0,2.29,,,,10.0,10.0,2.34,,,
,,,10.0,10.0,2.19,10.0,10.0,2.14,,,
,,,10.0,10.0,1.23,,,,10.0,10.0,2.28
10.0,10.0,2.25,10.0,10.0,2.25,,,,,,
,,,10.0,10.0,1.68,10.0,10.0,2.43,,,
,,,10.0,10.0,0.83,,,,10.0,10.0,3.23
,,,10.0,10.0,1.82,10.0,10.0,2.47,,,
,,,10.0,10.0,0.91,,,,10.0,10.0,3.01
10.0,10.0,2.68,,,,10.0,10.0,2.68,,,
,,,10.0,10.0,0.97,,,,10.0,10.0,2.92
10.0,10.0,2.68,,,,10.0,10.0,2.68,,,
,,,10.0,10.0,1.22,10.0,10.0,2.72,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.34,10.0,10.0,2.34,,,,,,
,,,,,,10.0,10.0,2.09,10.0,10.0,1.69
10.0,10.0,2.14,10.0,10.0,2.19,,,,,,
,,,10.0,10.0,0.76,,,,10.0,10.0,3.01
,,,10.0,10.0,2.16,10.0,10.0,2.16,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.4,10.0,10.0,2.45,,,,,,
,,,10.0,10.0,1.76,10.0,10.0,2.31,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.09,10.0,10.0,1.69
,,,,,,10.0,10.0,1.8,10.0,10.0,1.8
10.0,10.0,2.34,10.0,10.0,2.39,,,,,,
10.0,10.0,2.31,10.0,10.0,2.36,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.31,,,,10.0,10.0,2.61
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,2.21,10.0,10.0,2.26,,,
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
,,,,,,10.0,10.0,1.8,10.0,10.0,1.9
10.0,10.0,2.28,10.0,10.0,2.28,,,,,,
,,,10.0,10.0,0.69,,,,10.0,10.0,3.14
,,,10.0,10.0,1.34,10.0,10.0,2.44,,,
,,,,,,10.0,10.0,2.04,10.0,10.0,1.44
,,,10.0,10.0,0.76,,,,10.0,10.0,2.76
,,,,,,10.0,10.0,2.04,10.0,10.0,1.44
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.7,,,,10.0,10.0,3.05
,,,,,,10.0,10.0,2.59,10.0,10.0,0.94
,,,,,,10.0,10.0,2.59,10.0,10.0,0.94
10.0,10.0,2.25,10.0,10.0,2.25,,,,,,
,,,10.0,10.0,1.72,10.0,10.0,2.52,,,
,,,,,,10.0,10.0,2.59,10.0,10.0,0.94
,,,,,,10.0,10.0,2.59,10.0,10.0,0.94
,,,10.0,10.0,0.76,,,,10.0,10.0,2.66
10.0,10.0,2.84,,,,10.0,10.0,2.84,,,
,,,,,,10.0,10.0,2.59,10.0,10.0,0.94
10.0,10.0,2.84,,,,10.0,10.0,2.84,,,
10.0,10.0,2.3,10.0,10.0,2.3,,,,,,
,,,10.0,10.0,1.04,,,,10.0,10.0,2.59
,,,10.0,10.0,0.82,,,,10.0,10.0,3.02
,,,10.0,10.0,0.82,,,,10.0,10.0,2.82
10.0,10.0,2.14,,,,,,,10.0,10.0,2.14
10.0,10.0,2.14,,,,,,,10.0,10.0,2.14
,,,10.0,10.0,1.38,10.0,10.0,2.73,,,
,,,10.0,10.0,0.78,,,,10.0,10.0,3.03
,,,10.0,10.0,0.95,,,,10.0,10.0,2.6
10.0,10.0,2.29,10.0,10.0,2.29,,,,,,
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
,,,,,,10.0,10.0,1.82,10.0,10.0,1.62
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
10.0,10.0,2.45,10.0,10.0,2.45,,,,,,
,,,10.0,10.0,1.64,10.0,10.0,2.64,,,
,,,10.0,10.0,1.01,,,,10.0,10.0,2.71
,,,,,,10.0,10.0,1.82,10.0,10.0,1.62
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
,,,10.0,10.0,1.5,10.0,10.0,2.65,,,
10.0,10.0,2.33,10.0,10.0,2.33,,,,,,
,,,10.0,10.0,1.33,10.0,10.0,2.78,,,
10.0,10.0,2.84,,,,10.0,10.0,2.84,,,
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
,,,10.0,10.0,0.96,,,,10.0,10.0,2.56
,,,10.0,10.0,0.9,,,,10.0,10.0,3.0
10.0,10.0,2.28,10.0,10.0,2.33,,,,,,
10.0,10.0,2.99,,,,,,,10.0,10.0,2.99
,,,,,,10.0,10.0,2.21,10.0,10.0,1.36
10.0,10.0,2.34,10.0,10.0,2.34,,,,,,
,,,10.0,10.0,1.62,10.0,10.0,2.37,,,
,,,10.0,10.0,1.57,10.0,10.0,2.47,,,
10.0,10.0,2.26,10.0,10.0,2.31,,,,,,
10.0,10.0,2.93,,,,,,,10.0,10.0,2.93
10.0,10.0,2.93,,,,,,,10.0,10.0,2.93
,,,,,,10.0,10.0,2.27,10.0,10.0,1.12
,,,10.0,10.0,1.93,10.0,10.0,2.23,,,
,,,,,,10.0,10.0,2.27,10.0,10.0,1.12
,,,,,,10.0,10.0,2.27,10.0,10.0,1.12
,,,,,,10.0,10.0,2.27,10.0,10.0,1.12
,,,10.0,10.0,0.89,,,,10.0,10.0,3.09
